timestamp,age_group,gender,program_of_study,study_programme,study_hours_weekdays,study_hours_weekends,session_length,review_notes,attendance_rate,sleep_hours,screen_time,stress_level,motivation_level,time_management,learning_satisfaction,average_gpa,gpa_range,study_habit_effect,study_hours_weekdays_num,study_hours_weekends_num,sleep_hours_num,screen_time_num,attendance_rate_num,review_notes_num,stress_band,sleep_band
2025-10-11 20:17:53.264,18 - 22,Female,Data Science,Higher National Diploma,1 - 2 hours,3–4 hours,30–59 minutes,Often,50–74%,7-8,4-6 hours,4,3,3,3,2.0,2.5-2.99,Maybe,1.5,3.5,7.5,5.0,0.62,3,Medium,Good
2025-10-11 20:30:38.165,18 - 22,Female,Data Science,Higher National Diploma,Less than 1 hour,Less than 1 hour,<30 minutes,Never,≥90%,6-7,2-4 hours,4,2,1,3,2.5443037974683542,2.5-2.99,"Yes, significantly",0.5,0.5,6.5,3.0,0.95,1,Medium,Good
2025-10-11 20:44:36.999,18 - 22,Female,Data Science,Higher National Diploma,1 - 2 hours,3–4 hours,<30 minutes,Sometimes,50–74%,6-7,2-4 hours,4,3,3,3,3.0,3.0-3.49,Somewhat,1.5,3.5,6.5,3.0,0.62,2,Medium,Good
2025-10-11 20:54:00.359,18 - 22,Male,Computer Science ,Bsc,3 - 4 hours,3–4 hours,30–59 minutes,Often,75-89%,6-7,6-8 hours,5,3,3,4,2.5443037974683542,3.0-3.49,"Yes, significantly",3.5,3.5,6.5,7.0,0.82,3,High,Good
2025-10-11 20:55:28.600,18 - 22,Female,Fashion Design,Foundation,3 - 4 hours,4–5 hours,30–59 minutes,Sometimes,75-89%,6-7,4-6 hours,4,3,3,4,3.0,2.0-2.49,Somewhat,3.5,4.5,6.5,5.0,0.82,2,Medium,Good
2025-10-11 20:57:26.721,18 - 22,Female,Engineering ,Bsc,More than 5 hours,4–5 hours,1–2 hours,Often,≥90%,4-5,2-4 hours,3,4,3,4,3.0,3.0-3.49,"Yes, significantly",2.6066666666666665,4.5,4.5,3.0,0.95,3,Medium,Good
2025-10-11 20:57:30.354,18 - 22,Female,Data Science,Advanced Diploma,4 -5 hours,More than 5 hours,1–2 hours,Sometimes,75-89%,5-6,4-6 hours,3,2,4,4,2.5443037974683542,2.0-2.49,Not really,2.6066666666666665,9.5,5.5,5.0,0.82,2,Medium,Good
2025-10-11 21:02:21.363,18 - 22,Female,BSc.Nursing (UG),Bsc,More than 5 hours,4–5 hours,2 - 3 hours,Often,≥90%,4-5,2-4 hours,3,3,3,3,1.0,2.0-2.49,Maybe,2.6066666666666665,4.5,4.5,3.0,0.95,3,Medium,Good
2025-10-11 21:04:05.589,18 - 22,Female,Engineering,Bsc,More than 5 hours,More than 5 hours,1–2 hours,Often,75-89%,7-8,2-4 hours,2,3,3,4,3.0,3.0-3.49,Somewhat,2.6066666666666665,9.5,7.5,3.0,0.82,3,Low,Good
2025-10-11 21:06:43.568,18 - 22,Female,Data Science,Foundation,3 - 4 hours,3–4 hours,1–2 hours,Often,50–74%,6-7,2-4 hours,4,4,3,3,2.0,2.5-2.99,Not sure,3.5,3.5,6.5,3.0,0.62,3,Medium,Good
